OPER_DATE;CREDIT_ACCOUNT_RK;DEBET_ACCOUNT_RK;CREDIT_AMOUNT;DEBET_AMOUNT
09-01-2018;409685020;13630;58946.09;34991.98
09-01-2018;13630;17434;2912.91;2465.81
09-01-2018;10006159;13630;53835.75;45798.9
09-01-2018;393808409;17436;72885.78;69885.59
09-01-2018;17434;17436;75268.49;34757.76
09-01-2018;13985;13630;57432.08;50788.12
09-01-2018;1761691;13630;71456.9;9399.05
09-01-2018;1761691;13630;72315.46;80530.97
09-01-2018;529813078;17436;27560.56;5844.06
09-01-2018;1761691;13630;33348.13;66508.96
09-01-2018;393808409;17436;44869.18;27078.97
09-01-2018;1761691;13630;50022.58;54944.45
09-01-2018;409685020;13630;53073.56;41726.58
09-01-2018;10006159;13630;88865.00;39141.54
09-01-2018;311159924;13630;32239.52;11045.49
09-01-2018;529751991;13630;67376.53;38967.6
09-01-2018;1761691;13630;51807.47;99932.73
09-01-2018;37051;13630;92587.36;86991.94
09-01-2018;17436;13630;72204.45;54262.38
09-01-2018;1761691;13630;95372.16;32036.61
09-01-2018;17436;13630;70082.62;38847.3
09-01-2018;13630;17436;98257.12;13183.27
09-01-2018;10006159;13630;32917.97;77702.92
09-01-2018;409685020;13630;69589.58;46423.57
09-01-2018;393808409;17436;8415.27;1024.83
09-01-2018;528787381;13630;93987.59;69709.72
09-01-2018;393808409;17436;22018.12;80812.7
09-01-2018;10006159;13630;46249.78;12019.65
09-01-2018;409685020;13630;76718.56;91777.91
09-01-2018;8736635;13630;41607.35;86075.27
09-01-2018;17437;17436;56844.39;40262.3
09-01-2018;10006159;13630;8853.2;27075.96
09-01-2018;528641685;13630;34690.49;50019.44
09-01-2018;393808409;17436;37780.06;43661.36
09-01-2018;17436;30277;63661.42;67687.62
09-01-2018;434141714;13630;12567.59;97643.18
09-01-2018;409685020;13630;44691.36;31605.25
09-01-2018;409685020;13630;79692.23;77787.15
09-01-2018;1761691;13630;4781.88;19612.16
09-01-2018;409685020;13630;1368.02;61488.83
09-01-2018;1761691;13630;42751.41;82852.59
09-01-2018;13630;17436;8851.26;54257.63
09-01-2018;393808409;17434;91858.19;13626.31
09-01-2018;10006159;13630;50987.25;28526.03
09-01-2018;10006159;13630;91710.63;34194.72
09-01-2018;8736635;13630;73067.21;29048.84
09-01-2018;409685020;13630;94524.68;4225.36
09-01-2018;529686807;312741916;59112.58;4773.1
09-01-2018;48182547;13630;88866.75;36037.18
09-01-2018;311159924;13630;56844.63;96579.39
09-01-2018;409685020;13630;45390.54;82157.17
09-01-2018;1761691;13630;44066.75;53106.63
09-01-2018;311161686;13630;32630.08;73679.82
09-01-2018;528641685;13630;47496.86;26800.00
09-01-2018;17436;17244;424.86;47617.8
09-01-2018;393808409;17436;73508.48;19469.98
09-01-2018;409685020;13630;74630.49;50458.61
09-01-2018;1761691;13630;40332.9;48702.58
09-01-2018;13630;17436;53888.61;59840.45
09-01-2018;10006159;13630;55601.99;26401.12
09-01-2018;37051;13630;84214.16;10847.26
09-01-2018;528641685;13630;72710.19;58186.1
09-01-2018;409685020;13630;71912.98;71680.16
09-01-2018;4243715;13630;2416.28;33558.11
09-01-2018;311159924;13630;67642.42;36536.86
09-01-2018;1761691;13630;74366.54;50172.42
09-01-2018;1761691;13630;1769.33;45434.77
09-01-2018;1761691;13630;14595.46;75381.49
09-01-2018;15698716;13630;56532.41;56348.12
09-01-2018;17436;13630;81057.63;92283.05
09-01-2018;8736635;13630;61244.11;24495.73
09-01-2018;393808409;17436;47996.00;66341.13
09-01-2018;1761691;13630;84653.33;13400.11
09-01-2018;409685020;13630;77751.42;48413.29
09-01-2018;409685020;13630;64065.81;14714.57
09-01-2018;13630;17436;31174.22;73080.9
09-01-2018;393808409;1235426;46884.44;29554.82
09-01-2018;17436;13630;54765.49;17303.52
09-01-2018;528641685;13630;53837.33;46483.03
09-01-2018;13688;13632;86664.74;272.5
09-01-2018;311159924;13630;10216.68;21863.4
09-01-2018;1761691;13630;76972.42;2194.19
09-01-2018;4243715;13630;93052.57;88103.94
09-01-2018;393808409;17436;94851.47;31162.9
09-01-2018;13630;17436;6806.73;21390.54
09-01-2018;46179628;13630;40985.63;15132.72
09-01-2018;409685020;13630;84336.19;3597.99
09-01-2018;13630;36213979;92742.25;68867.48
09-01-2018;10006159;13630;24247.38;50461.61
09-01-2018;1761691;13630;6599.39;35978.8
09-01-2018;409685020;13630;86394.73;33590.51
09-01-2018;311159924;13630;6639.01;14526.86
09-01-2018;1761691;13630;66091.68;29132.03
09-01-2018;311159924;13630;67475.94;55606.67
09-01-2018;311159924;13630;91917.8;1260.2
09-01-2018;8736635;13630;75653.99;66749.09
09-01-2018;92629528;13630;78211.52;58030.05
09-01-2018;13630;17436;94477.24;54296.68
09-01-2018;409685020;13630;12599.68;42847.47
09-01-2018;393808409;17436;97504.03;91460.06
09-01-2018;1761691;13630;34790.65;18737.04
09-01-2018;13630;17436;63546.01;48402.00
09-01-2018;10006159;13630;18312.56;23916.47
09-01-2018;17436;13630;41948.39;71131.82
09-01-2018;529813816;17437;80016.43;61364.88
09-01-2018;409685020;13630;53282.32;40232.06
09-01-2018;529751876;13630;80073.54;93303.75
09-01-2018;409685020;13630;14799.36;76308.36
09-01-2018;17436;13630;50995.42;44448.36
09-01-2018;13985;13630;57800.86;84970.36
09-01-2018;1761691;13630;89364.15;70505.45
09-01-2018;528641685;13630;97911.99;85018.25
09-01-2018;18880783;13630;79420.59;35462.87
09-01-2018;11735819;13630;69429.4;96935.86
09-01-2018;393808409;1972647;46445.46;90246.28
09-01-2018;13630;17436;60327.54;59038.02
09-01-2018;1761691;13630;69198.65;70145.4
09-01-2018;46179628;13630;84380.8;4707.29
09-01-2018;61214401;13630;57506.98;48587.39
09-01-2018;10006159;13630;85658.68;46108.11
09-01-2018;10006159;13630;90496.91;20758.25
09-01-2018;409685020;13630;95838.73;71991.33
09-01-2018;17434;17436;94563.95;90453.35
09-01-2018;2682057;13630;43057.45;29206.94
09-01-2018;434141714;13630;2478.41;52278.1
09-01-2018;1761691;13630;39267.04;1963.83
09-01-2018;409685020;13630;13352.92;95416.01
09-01-2018;13883;17436;76478.31;14211.24
09-01-2018;1761691;13630;54199.91;32975.41
09-01-2018;57223170;13630;45337.86;64758.03
09-01-2018;13630;17436;14162.75;2275.93
09-01-2018;10006159;13630;30169.84;49215.08
09-01-2018;10006159;13630;31510.29;37663.11
09-01-2018;1761691;13630;44939.35;37580.51
09-01-2018;10006159;13630;41891.14;458.04
09-01-2018;1761691;13630;22416.47;41492.33
09-01-2018;1761691;13630;65206.61;53639.59
09-01-2018;529751924;17436;56961.7;83928.1
09-01-2018;8736635;13630;60958.8;40969.43
09-01-2018;13985;13630;14225.2;81899.00
09-01-2018;393808409;17436;87740.97;8696.44
09-01-2018;6077138;13630;98899.69;59798.39
09-01-2018;1761691;13630;85662.29;36805.86
09-01-2018;10006159;13630;73249.26;23398.56
09-01-2018;13985;13630;3120.82;29718.66
09-01-2018;393808409;17436;69465.32;71669.72
09-01-2018;393806608;17436;50863.32;15828.52
09-01-2018;1761691;13630;95323.19;22007.19
09-01-2018;10006159;13630;58421.37;40778.08
09-01-2018;17436;1972647;9571.84;36455.1
09-01-2018;17436;13630;90911.39;65473.91
09-01-2018;34157147;13631;70699.27;67685.02
09-01-2018;13630;17436;5917.69;96228.74
09-01-2018;8736635;13630;85891.93;74311.72
09-01-2018;15698716;13630;36385.45;90703.51
09-01-2018;10006159;13630;96110.24;41940.88
09-01-2018;1761691;13630;41671.85;44237.55
09-01-2018;10006159;13630;24556.41;99825.04
09-01-2018;393808409;17436;39081.79;3419.1
09-01-2018;1761691;13630;72613.64;34631.1
09-01-2018;12048338;13630;67381.77;14404.67
09-01-2018;409685020;13630;9250.23;92754.47
09-01-2018;10006159;13630;16286.56;17739.66
09-01-2018;13630;17436;63499.52;23627.98
09-01-2018;13630;17436;94417.67;66533.54
09-01-2018;48182547;13630;20383.2;51870.18
09-01-2018;409685020;13630;6443.35;84924.47
09-01-2018;92629528;13630;49584.01;93658.66
09-01-2018;1761691;13630;4925.18;84791.62
09-01-2018;17436;13630;34110.11;22047.74
09-01-2018;409685020;13630;27509.37;69359.5
09-01-2018;10006159;13630;65339.44;44792.67
09-01-2018;409685020;13630;73956.21;94021.73
09-01-2018;10006159;13630;71494.76;89945.11
09-01-2018;10006159;13630;19247.62;67936.83
09-01-2018;41529;13630;56638.29;25803.14
09-01-2018;10006159;13630;55182.75;18822.08
09-01-2018;409684688;13632;29209.57;7197.94
09-01-2018;311159924;13630;83213.58;34198.8
09-01-2018;17436;13630;91312.99;335.36
09-01-2018;13985;13630;62762.28;6275.13
09-01-2018;2682057;13630;26181.9;42828.8
09-01-2018;409685020;13630;75627.98;45694.25
09-01-2018;10006159;13630;35599.53;46597.04
09-01-2018;409685020;13630;29029.17;58666.52
09-01-2018;311161686;13630;21872.77;66591.16
09-01-2018;48182547;13630;72778.6;37953.08
09-01-2018;393808409;17436;79423.77;41337.98
09-01-2018;15698716;13630;8426.4;80744.99
09-01-2018;1761691;13630;82699.58;35534.18
09-01-2018;528641685;13630;85676.5;20137.82
09-01-2018;8736635;13630;49431.12;49600.42
09-01-2018;17132;13630;85355.62;49592.76
09-01-2018;8736635;13630;59068.13;89656.92
09-01-2018;10006159;13630;19123.27;40897.01
09-01-2018;10006159;13630;93994.02;67687.46
09-01-2018;8736635;13630;91066.74;60292.01
09-01-2018;409685020;13630;64876.53;3137.35
09-01-2018;15698716;13630;15053.75;938.97
09-01-2018;1761691;13630;91389.71;2985.38
09-01-2018;13685;13632;52688.25;93367.53
09-01-2018;409685020;13630;56536.27;92026.23
09-01-2018;451932940;13630;5889.91;36062.07
09-01-2018;37051;13630;67141.12;63609.15
09-01-2018;17437;13630;99567.07;11909.14
09-01-2018;409685020;13630;42732.13;68890.07
09-01-2018;434141714;13630;54336.61;40744.11
09-01-2018;1761691;13630;49935.79;48117.89
09-01-2018;10006159;13630;55867.89;85250.03
09-01-2018;13630;17436;32485.72;94751.25
09-01-2018;13985;13630;86591.26;29593.55
09-01-2018;1761691;13630;14284.5;20095.92
09-01-2018;409685020;13630;18958.53;86749.31
09-01-2018;393808409;17436;69728.51;87832.35
09-01-2018;17436;1972647;38892.05;70813.48
09-01-2018;12048338;13630;44323.37;61114.65
09-01-2018;17436;13630;74112.52;39235.85
09-01-2018;10006159;13630;27560.41;91566.41
09-01-2018;409685020;13630;56199.88;16572.24
09-01-2018;409685020;13630;13209.58;84922.68
09-01-2018;10006159;13630;61501.91;1800.26
09-01-2018;37051;13630;58547.00;73459.88
09-01-2018;305763419;13630;81641.12;43929.81
09-01-2018;311159924;13630;15805.36;46934.63
09-01-2018;2682058;13632;45542.04;97362.25
09-01-2018;67230335;13632;97888.6;1645.01
09-01-2018;13630;17436;30532.52;5674.2
09-01-2018;8736635;13630;23081.3;71646.78
09-01-2018;17437;13630;80116.84;26264.78
09-01-2018;8736635;13630;79858.58;44781.96
09-01-2018;409685020;13630;6875.54;11464.49
09-01-2018;10006159;13630;24723.8;73679.59
09-01-2018;10006159;13630;51144.99;70292.54
09-01-2018;393808409;17434;60456.48;10536.5
09-01-2018;409685020;13630;57316.35;63145.36
09-01-2018;434141714;13630;33040.58;17369.8
09-01-2018;17436;13630;87050.29;91032.71
09-01-2018;1761691;13630;68211.13;68232.38
09-01-2018;393808409;30277;73523.36;30089.85
09-01-2018;92629528;13630;67030.55;64500.58
09-01-2018;1761691;13630;84111.56;67617.11
09-01-2018;6093814;13630;89477.36;69424.57
09-01-2018;393808409;17437;76487.68;67404.67
09-01-2018;6077138;13630;32761.43;54229.36
09-01-2018;393808409;17436;65500.62;7419.00
09-01-2018;8736635;13630;36348.36;63075.42
09-01-2018;10006159;13630;28036.73;37933.37
09-01-2018;73311876;13630;58602.27;12646.9
09-01-2018;529813761;13906;72092.8;19003.47
09-01-2018;393808409;17436;83996.38;38957.47
09-01-2018;10006159;13630;7075.17;48845.93
09-01-2018;1761691;13630;64304.43;32592.33
09-01-2018;17436;13630;88394.97;66099.73
09-01-2018;17436;13630;69877.39;4055.89
09-01-2018;393808409;17436;35764.05;90111.85
09-01-2018;15698716;13630;36147.36;64228.4
09-01-2018;10006159;13630;93881.88;69335.95
09-01-2018;1761691;13630;14206.53;83363.22
09-01-2018;311159924;13630;78869.16;57485.23
09-01-2018;1761691;13630;27908.95;16645.62
09-01-2018;10006159;13630;77711.54;96804.84
09-01-2018;1761691;13630;73611.92;85353.08
09-01-2018;13985;13630;1078.74;91642.85
09-01-2018;1761691;13630;30016.7;59143.08
09-01-2018;451932940;13630;10036.19;52207.51
09-01-2018;48182547;13630;7189.84;80598.53
09-01-2018;17132;17439;78935.78;31334.98
09-01-2018;434141714;13630;97092.91;72506.53
09-01-2018;17436;30277;33716.84;59354.75
09-01-2018;13630;17434;73480.45;12251.73
09-01-2018;393808409;1972647;57516.52;68908.79
09-01-2018;12048338;13630;18457.76;59382.51
09-01-2018;13632;298332839;76754.94;50554.89
09-01-2018;8736635;13630;46438.64;6905.89
09-01-2018;10006159;13630;95418.6;86511.22
09-01-2018;13630;17436;29292.52;49804.33
09-01-2018;393808409;17436;15808.32;57608.3
09-01-2018;331483502;17436;24310.54;8153.91
09-01-2018;15698716;13630;40488.78;94321.13
09-01-2018;26899;17436;91735.41;98431.16
09-01-2018;10006159;13630;18307.24;77067.23
09-01-2018;409684688;13632;84654.42;14699.84
09-01-2018;409685020;13630;21446.83;33240.27
09-01-2018;1761691;13630;36734.93;27598.72
09-01-2018;529751911;13630;28690.7;87686.98
09-01-2018;2639288;13630;95614.95;36385.68
09-01-2018;393808409;17436;26394.02;46366.71
09-01-2018;10006159;13630;76028.12;54466.48
09-01-2018;10006159;13630;47359.73;20050.56
09-01-2018;10006159;13630;92258.96;96497.34
09-01-2018;1761691;13630;78154.07;59309.21
09-01-2018;17436;13630;8947.41;25844.5
09-01-2018;15698716;13630;9815.8;31500.38
09-01-2018;409685020;13630;88752.44;19424.56
09-01-2018;393808409;17436;25656.11;88828.32
09-01-2018;17436;13630;70937.68;52024.07
09-01-2018;37051;13630;36421.98;58134.87
09-01-2018;15698716;13630;26951.57;78963.35
09-01-2018;528641685;13630;2149.06;55192.69
09-01-2018;393808409;17434;86981.23;5445.64
09-01-2018;41413657;13630;38241.87;42053.59
09-01-2018;10006159;13630;43291.56;21812.62
09-01-2018;528641685;13630;32877.93;5320.64
09-01-2018;409685106;13631;4270.81;63168.05
09-01-2018;311159924;13630;77658.86;16569.51
09-01-2018;409685020;13630;4651.25;18642.84
09-01-2018;409685020;13630;53630.35;682.83
09-01-2018;393806608;17436;24275.66;28123.04
09-01-2018;393808409;17436;8567.61;73406.85
09-01-2018;1761691;13630;34124.4;47102.95
09-01-2018;13630;17436;22068.59;7672.61
09-01-2018;409685020;13630;79622.8;65112.67
09-01-2018;311161703;13632;45821.85;22566.52
09-01-2018;409685020;13630;15349.03;28543.08
09-01-2018;10006159;13630;1559.41;63009.35
09-01-2018;409685020;13630;59912.12;85601.6
09-01-2018;393807930;13632;62104.16;35550.53
09-01-2018;1761691;13630;18309.96;11032.00
09-01-2018;1761691;13630;64629.85;13218.23
09-01-2018;1761691;13630;89012.55;87474.66
09-01-2018;393808409;17436;48069.89;93403.68
09-01-2018;409685020;13630;38067.4;79286.46
09-01-2018;434141714;13630;89511.15;95213.34
09-01-2018;1761691;13630;80147.11;44989.59
09-01-2018;13985;13630;31541.72;61075.97
09-01-2018;15698716;13630;26066.3;24217.64
09-01-2018;393808409;17437;62865.3;66604.03
09-01-2018;8736635;13630;70558.32;84063.72
09-01-2018;10006159;13630;64620.11;58640.6
09-01-2018;1761691;13630;50355.7;34437.34
09-01-2018;12048338;13630;68329.99;64182.93
09-01-2018;10006159;13630;48769.65;39763.01
09-01-2018;490890699;17132;52120.04;22961.21
09-01-2018;393808409;17436;29674.84;18260.2
09-01-2018;17132;13630;13901.05;13288.21
09-01-2018;1761691;13630;15597.7;56637.5
09-01-2018;67230420;13632;66810.54;72191.8
09-01-2018;13619;13631;26389.41;11579.74
09-01-2018;528641685;13630;2885.96;59769.91
09-01-2018;1761691;13630;10102.26;77363.58
09-01-2018;2682058;13632;83642.49;41415.33
09-01-2018;393808409;17436;52760.72;64424.71
09-01-2018;419005832;13632;29613.38;30470.44
09-01-2018;17436;13630;69665.33;26724.27
09-01-2018;393808409;17436;94191.12;68665.66
09-01-2018;10006159;13630;45469.34;32959.85
09-01-2018;10006159;13630;77401.16;37782.21
09-01-2018;48182547;13630;27237.67;189.93
09-01-2018;10006159;13630;16364.89;67742.24
09-01-2018;17436;13630;97546.66;3412.2
09-01-2018;34156728;34156914;8501.55;95744.81
09-01-2018;393808409;17436;1627.09;98352.26
09-01-2018;37051;13630;33267.76;52455.71
09-01-2018;30277;13630;35797.38;65751.26
09-01-2018;15698716;13630;26373.93;80660.58
09-01-2018;10006159;13630;61427.3;48262.6
09-01-2018;8736635;13630;55.93;3116.42
09-01-2018;15698716;13630;98862.05;97943.37
09-01-2018;529752069;13630;94653.37;18434.98
09-01-2018;409685020;13630;66487.28;46311.16
09-01-2018;2682057;13630;91626.87;75144.18
09-01-2018;409685020;13630;51220.05;91302.21
09-01-2018;393808409;17436;51070.42;42835.37
09-01-2018;393808409;17436;56827.43;83175.43
09-01-2018;393808409;17436;39934.04;23936.07
09-01-2018;10006159;13630;14991.94;11387.51
09-01-2018;17244;17436;55514.71;11729.35
09-01-2018;8736635;13630;75715.84;16910.25
09-01-2018;10006159;13630;93871.05;88558.1
09-01-2018;10006159;13630;30175.97;55987.31
09-01-2018;409685020;13630;11131.02;31092.63
09-01-2018;393806608;17436;74986.87;94247.05
09-01-2018;393808409;17436;71782.08;44331.39
09-01-2018;13985;13630;30903.22;72054.53
09-01-2018;13630;17436;56217.19;93724.96
09-01-2018;393808409;17436;46501.09;7991.75
09-01-2018;1761691;13630;42886.42;48766.71
09-01-2018;37051;13630;94714.42;59571.97
09-01-2018;18880783;13630;38580.18;58454.51
09-01-2018;393808409;17436;81527.69;73201.81
09-01-2018;1761691;13630;76391.79;50789.33
09-01-2018;10006159;13630;77138.77;81888.64
09-01-2018;13985;13630;92389.93;37143.14
09-01-2018;434141714;13630;65172.85;93926.98
09-01-2018;1761691;13630;91674.52;29038.02
09-01-2018;1761691;13630;53930.68;5784.39
09-01-2018;10006159;13630;49527.61;41474.15
09-01-2018;13630;17436;40558.21;63408.94
09-01-2018;311161686;13630;19475.56;82123.27
09-01-2018;393808409;30277;63356.74;7287.61
09-01-2018;409685020;13630;36560.32;3328.52
09-01-2018;18880783;13630;91167.18;82820.46
09-01-2018;13985;13630;72702.78;9706.36
09-01-2018;393808409;17439;70959.48;94094.89
09-01-2018;311161686;13630;70183.86;57243.52
09-01-2018;1761691;13630;90112.06;70262.83
09-01-2018;13985;13630;39347.43;7314.74
09-01-2018;434141714;13630;37875.95;3520.95
09-01-2018;409685020;13630;68235.77;40159.72
09-01-2018;393806608;17436;88174.03;63456.6
09-01-2018;10006159;13630;73369.4;84833.9
09-01-2018;409685020;13630;77838.92;5744.8
09-01-2018;15698716;13630;35199.11;87059.3
09-01-2018;17436;17434;71400.7;62361.99
09-01-2018;393808409;30277;30889.98;58071.16
09-01-2018;12048338;13630;66859.58;75140.5
09-01-2018;92629528;13630;61783.03;72694.87
09-01-2018;393808409;17436;56022.27;49094.57
09-01-2018;393808409;17436;60495.69;48098.25
09-01-2018;10006159;13630;75983.53;62573.79
09-01-2018;409684688;13632;94386.66;55284.91
09-01-2018;393808409;17436;64189.81;31021.95
09-01-2018;1761691;13630;36352.75;91806.63
09-01-2018;393808409;17436;9305.33;17763.38
09-01-2018;15698716;13630;81633.88;28732.24
09-01-2018;393808409;17436;26865.54;92844.97
09-01-2018;10006159;13630;66957.17;41195.66
09-01-2018;409685020;13630;13032.41;71759.43
09-01-2018;409685020;13630;90387.82;62567.88
09-01-2018;10006159;13630;45182.45;3592.77
09-01-2018;13985;13630;67777.52;37819.07
09-01-2018;13658;13632;69235.39;31966.89
09-01-2018;13630;17436;29938.39;46134.33
09-01-2018;168169085;13630;19357.4;99843.12
09-01-2018;1761691;13630;55412.99;13859.48
09-01-2018;10006159;13630;66094.74;62622.43
09-01-2018;13985;13630;95444.63;52363.84
09-01-2018;13630;17436;94478.55;9722.15
09-01-2018;8736635;13630;76640.54;87144.25
09-01-2018;409685020;13630;23508.17;16832.98
09-01-2018;73311876;13630;15791.55;98266.23
09-01-2018;10006159;13630;55206.95;97847.16
09-01-2018;409685020;13630;99266.81;79891.99
09-01-2018;15698716;13630;46899.93;52170.85
09-01-2018;393808409;17436;35262.74;1204.72
09-01-2018;393808409;17132;52687.34;28273.2
09-01-2018;13630;17436;85917.32;45218.92
09-01-2018;92629528;13630;94540.69;24325.05
09-01-2018;17436;17132;1419.24;83547.22
09-01-2018;393808409;17436;30865.07;91765.74
09-01-2018;73311876;13630;5666.12;75400.07
09-01-2018;10006159;13630;80385.8;77078.51
09-01-2018;37051;13630;81096.09;21344.09
09-01-2018;409685020;13630;2567.12;43597.71
09-01-2018;168169085;13630;28339.91;36540.58
09-01-2018;4243715;17436;88592.42;6179.37
09-01-2018;311161703;13632;60834.11;389.4
09-01-2018;10006159;13630;1439.92;67044.33
09-01-2018;1761691;13630;17711.05;16135.32
09-01-2018;409685020;13630;84137.74;65201.13
09-01-2018;409684688;13632;47339.04;72044.74
09-01-2018;409685020;13630;28116.32;41330.31
09-01-2018;10006159;13630;59078.41;60635.43
09-01-2018;1761691;13630;86947.48;96863.87
09-01-2018;10006159;13630;35911.06;25343.62
09-01-2018;409685020;13630;1487.9;82306.66
09-01-2018;10006159;13630;62544.32;3893.98
09-01-2018;1761691;13630;93911.49;96887.63
09-01-2018;8736635;13630;19610.32;57774.07
09-01-2018;10006159;13630;41444.87;27606.72
09-01-2018;1761691;13630;16432.57;35492.35
09-01-2018;13630;17436;58350.21;96096.85
09-01-2018;393808409;17436;1594.11;54127.26
09-01-2018;409685020;13630;95317.53;3628.37
09-01-2018;15698716;13630;61354.24;78678.43
09-01-2018;34156914;34156728;89526.19;48758.28
09-01-2018;393808409;17436;55591.96;58981.4
09-01-2018;303427410;13630;33096.05;64744.53
09-01-2018;17436;30277;36035.5;67333.28
09-01-2018;10006159;13630;73942.38;17007.14
09-01-2018;15698716;13630;46687.71;4055.02
09-01-2018;13630;17434;25904.37;90884.23
09-01-2018;13632;14138;40434.56;82503.91
09-01-2018;393808409;17436;3067.00;80444.43
09-01-2018;17436;13630;58163.47;42884.79
09-01-2018;10006159;13630;94651.05;34143.62
09-01-2018;13630;17436;51627.67;42487.96
09-01-2018;10006159;13630;61297.99;48933.15
09-01-2018;1761691;13630;26172.00;23433.86
09-01-2018;393808409;1972647;44958.68;20432.65
09-01-2018;409685020;13630;39313.85;76473.66
09-01-2018;1648686;13630;45622.14;91503.01
09-01-2018;1761691;13630;84325.02;34583.95
09-01-2018;10006159;13630;47051.18;98579.82
09-01-2018;10006159;13630;71227.26;67853.87
09-01-2018;4243715;13630;13894.78;66298.03
09-01-2018;13985;13630;61829.09;67349.24
09-01-2018;393808409;17436;18490.95;56867.13
09-01-2018;409685020;13630;17996.26;61417.21
09-01-2018;2639288;13630;76541.28;59757.58
09-01-2018;409685020;13630;97012.05;89968.58
09-01-2018;393808409;1972647;37772.00;12981.92
09-01-2018;409685020;13630;21166.39;50824.17
09-01-2018;10006159;13630;97691.43;81763.96
09-01-2018;393808409;17436;82415.25;78054.74
09-01-2018;434141714;13630;85177.17;75349.35
09-01-2018;13630;17436;43806.94;19564.52
09-01-2018;10006159;13630;8510.16;31012.73
